date,batter,pitcher,bvp_pa,bvp_avg,fd_pts,baseline,rel,bucket
2026-04-30,607208,657277,17,0.188,0.0,11.57,-11.57,BAD
2026-05-09,656941,607536,21,0.15,25.7,13.96,11.74,BAD
2026-05-09,607208,607536,46,0.349,21.2,9.76,11.44,GOOD
2026-05-09,592663,607536,25,0.125,6.2,7.89,-1.69,BAD
2026-05-13,656941,543243,29,0.154,12.0,15.2,-3.2,BAD
2026-05-13,547180,543243,30,0.125,0.0,12.77,-12.77,BAD
2026-05-13,607208,543243,28,0.385,9.0,9.64,-0.64,GOOD
2026-05-18,607208,666157,15,0.333,15.2,9.9,5.3,GOOD
2026-05-20,607208,671096,18,0.2,24.2,10.22,13.98,BAD
2026-05-25,666969,656288,15,0.333,0.0,7.05,-7.05,GOOD
2026-06-03,656941,621111,17,0.2,21.7,14.35,7.35,BAD
2026-06-03,607208,621111,16,0.0,3.0,9.96,-6.96,BAD
2026-06-04,656941,608337,21,0.294,6.0,14.49,-8.49,MID
2026-06-04,669016,608337,15,0.143,6.5,9.32,-2.82,BAD
2026-06-08,656941,571578,30,0.25,6.0,14.11,-8.11,MID
2026-06-08,547180,571578,58,0.313,6.2,12.17,-5.97,GOOD
2026-06-08,607208,571578,19,0.267,12.2,10.06,2.14,MID
2026-06-08,681082,571578,19,0.438,15.7,7.8,7.9,GOOD
2026-06-08,664761,571578,32,0.393,9.5,7.42,2.08,GOOD
2026-06-09,656941,656302,16,0.231,0.0,13.97,-13.97,MID
2026-06-10,656941,453286,23,0.263,31.4,13.74,17.66,MID
2026-06-10,547180,453286,33,0.269,34.1,12.07,22.03,MID
2026-06-10,681082,453286,16,0.571,18.5,8.02,10.48,GOOD
2026-06-10,664761,453286,24,0.292,28.7,7.33,21.37,MID
2026-06-17,656941,645261,48,0.244,0.0,13.75,-13.75,MID
2026-06-17,547180,645261,57,0.326,9.2,11.84,-2.64,GOOD
2026-06-17,669016,645261,27,0.259,6.5,10.32,-3.82,MID
2026-06-17,607208,645261,46,0.386,21.2,9.46,11.74,GOOD
2026-06-17,681082,645261,36,0.242,12.0,8.45,3.55,MID
2026-06-17,664761,645261,37,0.371,9.5,7.69,1.81,GOOD
2026-06-18,656941,640455,15,0.214,6.2,13.54,-7.34,MID
2026-06-18,547180,640455,18,0.353,3.0,11.8,-8.8,GOOD
2026-06-18,607208,640455,20,0.316,6.2,9.64,-3.44,GOOD
2026-06-18,664761,640455,15,0.357,16.0,7.72,8.28,GOOD
2026-06-20,656941,642547,22,0.235,72.8,13.43,59.37,MID
2026-06-20,547180,642547,18,0.313,46.9,11.67,35.23,GOOD
2026-06-20,607208,642547,20,0.105,19.1,9.59,9.51,BAD
2026-06-21,656941,656849,30,0.154,31.9,14.31,17.59,BAD
2026-06-21,547180,656849,30,0.407,27.7,12.17,15.53,GOOD
2026-06-21,607208,656849,27,0.25,12.4,9.72,2.68,MID
2026-06-21,664761,656849,29,0.357,6.0,7.82,-1.82,GOOD
2026-07-04,656941,608379,26,0.364,12.0,13.73,-1.73,GOOD
2026-07-04,547180,608379,26,0.32,6.0,12.58,-6.58,GOOD
2026-07-10,656941,656427,34,0.071,3.0,13.56,-10.56,BAD
2026-04-20,656941,607067,18,0.188,0.0,13.61,-13.61,BAD
2026-04-20,547180,607067,17,0.059,6.0,12.96,-6.96,BAD
2026-04-20,607208,607067,21,0.2,3.0,10.48,-7.48,BAD
2026-05-27,656941,621111,17,0.2,9.5,15.02,-5.52,BAD
2026-05-27,607208,621111,16,0.0,28.2,10.09,18.11,BAD
2026-05-27,592663,621111,19,0.158,3.0,6.92,-3.92,BAD
2026-07-07,607208,671096,18,0.2,9.7,10.28,-0.58,BAD
2026-04-20,682928,693821,23,0.316,18.4,16.29,2.11,GOOD
2026-04-20,671277,693821,18,0.294,0.0,7.87,-7.87,MID
2026-04-29,695578,656849,19,0.278,32.1,16.75,15.35,MID
2026-04-29,682928,656849,28,0.167,22.0,13.18,8.82,BAD
2026-04-29,696285,656849,17,0.267,16.2,7.21,8.99,MID
2026-05-10,682928,645261,20,0.211,0.0,14.56,-14.56,MID
2026-05-13,682928,666157,18,0.294,18.4,14.02,4.38,MID
2026-05-21,695578,656849,19,0.278,6.0,15.12,-9.12,MID
2026-05-21,682928,656849,28,0.167,6.0,14.1,-8.1,BAD
2026-05-21,660688,656849,20,0.353,9.2,8.97,0.23,GOOD
2026-05-22,682928,693821,23,0.316,34.7,13.92,20.78,GOOD
2026-06-01,682928,645261,20,0.211,6.2,13.78,-7.58,MID
2026-06-01,660688,645261,24,0.261,0.0,9.24,-9.24,MID
2026-06-08,682928,657277,20,0.2,22.2,13.44,8.76,BAD
2026-06-08,660688,657277,17,0.357,3.0,8.92,-5.92,GOOD
2026-06-24,695578,605400,15,0.214,0.0,14.65,-14.65,MID
2026-06-24,682928,605400,26,0.25,15.0,13.33,1.67,MID
2026-06-24,671277,605400,45,0.333,24.7,9.2,15.5,GOOD
2026-06-25,682928,650911,21,0.316,0.0,13.35,-13.35,GOOD
2026-07-03,695578,656605,15,0.385,18.2,14.44,3.76,GOOD
2026-07-03,682928,656605,19,0.421,12.2,12.78,-0.58,GOOD
2026-07-03,671277,656605,22,0.286,43.9,10.26,33.64,MID
2026-07-03,660688,656605,19,0.222,0.0,8.86,-8.86,MID
2026-06-23,671277,666200,16,0.125,24.9,8.97,15.93,BAD
2026-06-23,660688,666200,17,0.375,9.0,8.72,0.28,GOOD
2026-04-29,665489,678394,33,0.438,18.4,10.57,7.83,GOOD
2026-04-29,662139,678394,15,0.167,9.2,8.39,0.81,BAD
2026-04-30,665489,641927,17,0.071,3.0,10.87,-7.87,BAD
2026-04-30,665926,641927,23,0.143,0.0,8.35,-8.35,BAD
2026-04-30,676391,641927,15,0.267,6.0,7.94,-1.94,MID
2026-05-03,665489,657746,15,0.286,9.2,10.42,-1.22,MID
2026-05-03,665926,657746,27,0.269,6.0,8.01,-2.01,MID
2026-05-05,665489,656876,28,0.222,0.0,10.25,-10.25,MID
2026-05-06,665489,663556,25,0.25,0.0,9.92,-9.92,MID
2026-05-11,665489,656876,28,0.222,0.0,9.41,-9.41,MID
2026-05-12,665489,663556,25,0.25,16.0,9.15,6.85,MID
2026-05-13,665926,643377,15,0.25,6.0,8.22,-2.22,MID
2026-05-17,665489,656427,21,0.316,24.9,9.02,15.88,GOOD
2026-05-17,662139,656427,16,0.333,27.9,9.02,18.88,GOOD
2026-05-17,665926,656427,15,0.0,0.0,8.06,-8.06,BAD
2026-05-21,665489,607074,24,0.611,18.2,9.27,8.93,GOOD
2026-05-21,676391,607074,15,0.267,18.0,7.68,10.32,MID
